entities,Intermediate,Negative,Positive,General Opinion
Pragma,1.0,0.0,0.0,Intermediate
"Pragma, Insight Partners",2.0,0.0,0.0,Intermediate
Pragmata,1.0,0.0,0.0,Intermediate
"Pragmata, Capcom",0.0,1.0,0.0,Negative
Pride,1.0,0.0,0.0,Intermediate
"Pride Pin, Trans Lifeline",0.0,0.0,1.0,Positive
Prime Video,1.0,1.0,0.0,Intermediate
Prinny Presents,1.0,0.0,0.0,Intermediate
"Prinny Presents NIS Classics Vol, PSP",1.0,0.0,0.0,Intermediate
Private Division,4.0,0.0,0.0,Intermediate
Pro 2,1.0,0.0,0.0,Intermediate
Pro Evolution Soccer,1.0,0.0,0.0,Intermediate
ProbablyMonsters,4.0,0.0,2.0,Intermediate
Prodeus,0.0,0.0,1.0,Positive
Product Madness,0.0,1.0,0.0,Negative
"Projeckt Red, T-2077",0.0,1.0,0.0,Negative
Project #Sonic 2022,0.0,0.0,1.0,Positive
"Project Cars, Slightly Mad Studios",0.0,1.0,0.0,Negative
Project Downfall's,0.0,0.0,1.0,Positive
Project Eve,1.0,0.0,0.0,Intermediate
"Project Eve, https://t.co/X1exXO5ceK",0.0,0.0,1.0,Positive
Project Iron',1.0,0.0,0.0,Intermediate
Project L,0.0,1.0,0.0,Negative
Project Zomboid,0.0,1.0,0.0,Negative
Projekt,10.0,8.0,1.0,Intermediate
Projekt Red,5.0,7.0,2.0,Negative
Projekt Red's,0.0,1.0,0.0,Negative
"Projekt Red, Cyberpunk 2077's",1.0,0.0,0.0,Intermediate
"Projekt Red, https://t.co/unBlMZIxYn",1.0,0.0,0.0,Intermediate
"Projekt, DLC",1.0,0.0,0.0,Intermediate
"Projekt, GOG",0.0,1.0,0.0,Negative
"Projekt, Q3",1.0,0.0,0.0,Intermediate
"Projekt, The Molasses Flood",2.0,0.0,0.0,Intermediate
"Projekt, Xbox Game Pass",0.0,1.0,1.0,Negative
"Projekt, Xbox Game Pass, PS Now",0.0,0.0,1.0,Positive
"Projekt, the Cyberpunk and Witcher",1.0,0.0,0.0,Intermediate
Prologue,1.0,0.0,0.0,Intermediate
Pros React,0.0,0.0,1.0,Positive
Psychonauts,0.0,1.0,0.0,Negative
Pulp,1.0,0.0,0.0,Intermediate
Pumpkin Jack,1.0,0.0,0.0,Intermediate
PvP,0.0,2.0,0.0,Negative
"Pyra, Smash Bros. Ultimate'",0.0,0.0,1.0,Positive
Q1 and Q2 2022,1.0,0.0,0.0,Intermediate
Q3,1.0,1.0,1.0,Intermediate
"Q3, 3.6B",1.0,0.0,0.0,Intermediate
Q4,0.0,0.0,1.0,Positive
"Q4, Sponsored",0.0,0.0,1.0,Positive
QA,3.0,8.0,7.0,Negative
QA VP,0.0,0.0,1.0,Positive
"QA, Activision Blizzard's",1.0,0.0,0.0,Intermediate
"QA, Call of Duty Warzone",0.0,1.0,0.0,Negative
"QA, QA",0.0,1.0,0.0,Negative
"QA, Raven Software",3.0,0.0,0.0,Intermediate
"QA, Warzone",0.0,1.0,0.0,Negative
"QA, Warzone, Operato",0.0,1.0,0.0,Negative
"QA, https://t.co/EqxzFKCBqJ",1.0,0.0,0.0,Intermediate
"QA, https://t.co/V2ZC4hvcdy",1.0,0.0,0.0,Intermediate
QHD,1.0,0.0,0.0,Intermediate
"QuadCast S, @jeffgrubb",0.0,0.0,1.0,Positive
QuakeCon,1.0,1.0,0.0,Intermediate
"QuakeCon, @jeffgrubb",0.0,1.0,0.0,Negative
"QuakeCon, https://t.co/Tfm0SRVOzb",1.0,0.0,0.0,Intermediate
Quakecon,1.0,0.0,0.0,Intermediate
"Quakecon, Quake Renaissance",0.0,0.0,1.0,Positive
Quantic Dream,0.0,1.0,1.0,Negative
Quantic Dream's,0.0,2.0,0.0,Negative
"Quantic Dream’s Star Wars Eclipse, https://t.co/fMGXiNxNBn",0.0,1.0,0.0,Negative
"Quantic Dream’s Star Wars, Eclipse",0.0,2.0,0.0,Negative
Quantum Tech Partners,1.0,0.0,0.0,Intermediate
Quartz NFT,0.0,1.0,0.0,Negative
"Quartz, NFT",3.0,2.0,0.0,Intermediate
Quest 2,2.0,3.0,0.0,Negative
Quest 2's,0.0,0.0,1.0,Positive
Queue Dodge,0.0,3.0,0.0,Negative
Quick 2022,0.0,0.0,5.0,Positive
Quick 2022 Online,0.0,0.0,1.0,Positive
Quick Resume,0.0,1.0,1.0,Negative
Quick Time Events https://t.co/PkE3i5SapP,0.0,0.0,1.0,Positive
"Quickstop, Kraken Academy",0.0,1.0,0.0,Negative
Quill,0.0,0.0,1.0,Positive
"Quill, IP",0.0,0.0,1.0,Positive
"Quill, PSVR",1.0,0.0,0.0,Intermediate
R2-D2,0.0,1.0,0.0,Negative
RAM,2.0,0.0,1.0,Intermediate
"RAM, Intel",1.0,0.0,0.0,Intermediate
REALLY,0.0,0.0,1.0,Positive
RELIEF,0.0,0.0,1.0,Positive
RIP Scorpion,0.0,1.0,0.0,Negative
"RIP, https://t.co/L2GaSrcrVJ",1.0,0.0,0.0,Intermediate
"ROG, S17",1.0,0.0,0.0,Intermediate
ROM,0.0,2.0,0.0,Negative
RPCS3,0.0,0.0,1.0,Positive
RPG,33.0,17.0,22.0,Intermediate
RPG Book of Travels,0.0,0.0,1.0,Positive
RPG Expeditions,1.0,0.0,0.0,Intermediate
RPG Mothership,0.0,1.0,0.0,Negative
RPG Tails of Iron,1.0,0.0,0.0,Intermediate
"RPG Tails of Iron

https://t.co/tADAqbzX3G https://t.co/8iGVgjyo6o",1.0,0.0,0.0,Intermediate
RPG The Ascent,1.0,0.0,0.0,Intermediate
"RPG, D&amp;D",1.0,0.0,0.0,Intermediate
"RPG, D&amp;D 5e, Guardian - https://t.co/Vo0iV9Tjq3 https://t.co/pACDvaNqNL",1.0,0.0,0.0,Intermediate
"RPG, DrinkBox Studios",1.0,0.0,0.0,Intermediate
"RPG, Drinkbox Studios, Xbox",1.0,0.0,0.0,Intermediate
"RPG, Eastward",1.0,0.0,0.0,Intermediate
"RPG, Final Fantasy, Apple Arcade https://t.co/WbKFaXmdO5",1.0,0.0,0.0,Intermediate
"RPG, Forspoken",1.0,0.0,0.0,Intermediate
"RPG, Mercenaries",1.0,0.0,0.0,Intermediate
"RPG, Microsoft",1.0,0.0,0.0,Intermediate
"RPG, MoonglowBay",1.0,0.0,0.0,Intermediate
"RPG, Poker Quest",0.0,2.0,0.0,Negative
"RPG, Project Eve'",0.0,0.0,1.0,Positive
"RPG, Sin Chronicle",0.0,1.0,0.0,Negative
"RPG, Skyrim",1.0,0.0,0.0,Intermediate
"RPG, Stranger Things https://t.co/sPSjv9bQ9k",0.0,0.0,1.0,Positive
"RPG, Switch Holiday 2022 #",0.0,0.0,1.0,Positive
"RPG, Tri-Ace, Sony",0.0,0.0,1.0,Positive
"RPG, WHO",0.0,1.0,0.0,Negative
"RPG, Wartales",0.0,0.0,1.0,Positive
"RPG, XCOM",1.0,0.0,0.0,Intermediate
"RPG, Xbox, G https://t.co/hyApbjZHPE",0.0,0.0,1.0,Positive
"RPG, https://t.co/LKWisU7MqN",0.0,0.0,1.0,Positive
"RPG, https://t.co/LyFK1sOv2n https://t.co/MoQIefrWWg",1.0,0.0,0.0,Intermediate
"RPG, https://t.co/wx6TZVqHRq",0.0,1.0,0.0,Negative
RPGMaker,1.0,0.0,0.0,Intermediate
RPGolf Legends,1.0,0.0,0.0,Intermediate
"RPGolf Legends, ARPG",0.0,0.0,1.0,Positive
RPS,5.0,2.0,12.0,Positive
RPS Advent Calendar,0.0,0.0,1.0,Positive
"RPS, Logitech, G502",0.0,0.0,1.0,Positive
"RPS, Premium, RPS, Sat
- And, RPS",0.0,0.0,1.0,Positive
"RPS, RPS",0.0,0.0,3.0,Positive
"RPS, RPS, Subscribe",0.0,0.0,1.0,Positive
RRP,1.0,0.0,0.0,Intermediate
RSS,0.0,0.0,1.0,Positive
"RSS Users, GD, RSS, RSS",0.0,1.0,0.0,Negative
"RSS, RSS",0.0,0.0,1.0,Positive
RT @AspyrMedia,1.0,0.0,0.0,Intermediate
RT @Chris_Dring,0.0,0.0,1.0,Positive
RT @Chris_Dring:,0.0,0.0,2.0,Positive
"RT @Chris_Dring:, GI Live: Academy",0.0,0.0,1.0,Positive
RT @Devindra,2.0,0.0,3.0,Positive
"RT @Devindra, @Engadget Podcast, Valve's Steam Deck",0.0,0.0,1.0,Positive
"RT @Devindra, Playroom @AsobiNico",1.0,0.0,0.0,Intermediate
"RT @Devindra, the @Engadget Podcast, @skrishna",1.0,0.0,0.0,Intermediate
RT @Devindra: Here’s my preview of the Halo Infinite,1.0,0.0,0.0,Intermediate
"RT @Devindra: Spent, Population One, VR",0.0,1.0,0.0,Negative
"RT @EngadgetDeals: Walmart, Xbox, PlayStation 5",0.0,0.0,2.0,Positive
"RT @FellatiaG, Nightmare Temptation Academy",0.0,0.0,1.0,Positive
RT @Fox_McCloudSrvr,1.0,0.0,0.0,Intermediate
RT @GamesBeat,10.0,1.0,4.0,Intermediate
"RT @GamesBeat, @jeffgrubb",0.0,1.0,0.0,Negative
"RT @GamesBeat, AMD, Super Resolution, DLSS, @jeffgrubb",0.0,1.0,0.0,Negative
"RT @GamesBeat, AMD, Super Resolution, Nvidia, DLSS",0.0,0.0,1.0,Positive
"RT @GamesBeat, Apex Legends:",1.0,0.0,0.0,Intermediate
"RT @GamesBeat, EA Play https://t.co/zWH896ODPK",0.0,1.0,0.0,Negative
"RT @GamesBeat, Elgato Facecam, @jeffgrubb",0.0,0.0,1.0,Positive
"RT @GamesBeat, Movies",0.0,1.0,0.0,Negative
"RT @GamesBeat, PlayStation Showcase, @jeffgrubb",1.0,0.0,0.0,Intermediate
"RT @GamesBeat, Sketchfab https://t.co/xVhr3t69aG",1.0,0.0,0.0,Intermediate
"RT @GamesBeat, VR",0.0,1.0,0.0,Negative
"RT @GamesBeat, Wolf3D",0.0,0.0,2.0,Positive
"RT @GamesBeat, https://t.co/1K7Foq9Mzn",1.0,0.0,0.0,Intermediate
"RT @GamesBeat, https://t.co/PldmaJCAAH",0.0,1.0,0.0,Negative
RT @Gizmodo,0.0,1.0,1.0,Negative
"RT @Gizmodo, Nintendo Punch-Out",0.0,1.0,0.0,Negative
"RT @Gizmodo, Nintendo, New Game &, a Zelda Fan's",1.0,0.0,0.0,Intermediate
"RT @Gizmodo, Sony Reportedly Cuts Production",0.0,1.0,0.0,Negative
"RT @Gizmodo, Super-Powered Cartridge Lets",1.0,0.0,0.0,Intermediate
"RT @Gizmodo, The Halo TV Show's",0.0,1.0,0.0,Negative
"RT @Gizmodo, WaveBird",0.0,0.0,1.0,Positive
RT @Gliitchy,1.0,0.0,1.0,Intermediate
"RT @Gliitchy, Gamasutra, Game Developer, ref",0.0,0.0,1.0,Positive
"RT @Gliitchy, RSS, Game Developer",1.0,0.0,0.0,Intermediate
"RT @Gliitchy, Topdee",0.0,0.0,1.0,Positive
RT @HowLongToBeat,1.0,0.0,0.0,Intermediate
"RT @HowLongToBeat, Dying Light",1.0,0.0,0.0,Intermediate
"RT @HowLongToBeat, Halo Infinite",1.0,0.0,0.0,Intermediate
"RT @HowLongToBeat, Undertale",1.0,0.0,0.0,Intermediate
RT @HowLongToBeat:,2.0,0.0,0.0,Intermediate
RT @HowLongToBeat: Most Backlogged Games,1.0,0.0,0.0,Intermediate
RT @HowLongToBeat: Top Games NOT Released,0.0,0.0,1.0,Positive
"RT @HowLongToBeat: Top Retro Games, Older) https://t.co/luK6hKzL9O",0.0,0.0,1.0,Positive
"RT @IGNDeals, Amazon",0.0,0.0,2.0,Positive
"RT @IGNDeals, Pokemon Legends Arceus, Walmart",1.0,0.0,0.0,Intermediate
"RT @IGNDeals, Walmart",1.0,0.0,0.0,Intermediate
RT @IGNDeals:,0.0,0.0,1.0,Positive
RT @IGNDeals: Walmart,1.0,0.0,0.0,Intermediate
"RT @Improbableio, @Games",0.0,0.0,1.0,Positive
"RT @InsideRoblox:, @GamesBeat",1.0,0.0,0.0,Intermediate
RT @Jalopnik,2.0,2.0,2.0,Intermediate
RT @JamesGunn:,0.0,0.0,1.0,Positive
RT @JasonDellaRocca,1.0,0.0,0.0,Intermediate
"RT @JoannaPopper:, @AtomicBlonde8 &amp, Video Games &",0.0,0.0,1.0,Positive
RT @JordanMiddler,1.0,0.0,1.0,Intermediate
RT @KOOPMode,0.0,0.0,1.0,Positive
RT @Kotaku,2.0,6.0,6.0,Negative
"RT @Kotaku, BioShock",0.0,1.0,0.0,Negative
"RT @Kotaku, NBA",1.0,0.0,0.0,Intermediate
"RT @Kotaku, Netflix",0.0,1.0,0.0,Negative
"RT @Kotaku, Nintendo",1.0,0.0,0.0,Intermediate
"RT @Kotaku, Splatoon, GIF",0.0,0.0,1.0,Positive
"RT @Kotaku, U.S. Government",1.0,0.0,0.0,Intermediate
"RT @Kotaku, YouTubers, Switch",1.0,0.0,0.0,Intermediate
RT @Kotaku:,5.0,2.0,2.0,Intermediate
RT @Kotaku: Classified,0.0,1.0,0.0,Negative
RT @Kotaku: Diablo II: Resurrected,0.0,1.0,0.0,Negative
RT @Kotaku: Gay road trip,1.0,0.0,0.0,Intermediate
RT @Kotaku: Labor union,1.0,0.0,0.0,Intermediate
RT @Kotaku: New Harley Quinn,1.0,0.0,0.0,Intermediate
RT @Kotaku: Report,0.0,0.0,1.0,Positive
"RT @Kotaku: Take-Two Interactive, GTA, DMCA, https://t.co/zIOkHbPC6h",0.0,1.0,0.0,Negative
RT @Kotaku: Ugh,0.0,1.0,0.0,Negative
RT @Kotaku: Update,0.0,1.0,0.0,Negative
"RT @Kotaku:, Brewster, https://t.co/i5YfVcIY1l",1.0,0.0,0.0,Intermediate
"RT @Kotaku:, Sable",0.0,0.0,1.0,Positive
"RT @Kotaku:, Stream Star Amouranth, TikTok",0.0,1.0,0.0,Negative
"RT @Luceobrien: Congratulations, Forza Horizon 5",0.0,0.0,1.0,Positive
"RT @NVCpodcast:, NVC, NES Achiever",0.0,0.0,1.0,Positive
"RT @Naughty_Dog:, UNCHARTED",0.0,1.0,0.0,Negative
"RT @NicoleLazzaro:, PT",0.0,1.0,0.0,Negative
"RT @Official_GDC, Core Concepts",1.0,0.0,0.0,Intermediate
"RT @Official_GDC, GDC",1.0,0.0,0.0,Intermediate
"RT @Official_GDC, GDC Mastercla",1.0,0.0,0.0,Intermediate
RT @RBryant2012,0.0,1.0,2.0,Positive
RT @RBryant2012:,1.0,2.0,2.0,Negative
RT @RBryant2012: CALL FOR FREELANCERS:,0.0,0.0,1.0,Positive
RT @Rogue_Co,0.0,0.0,1.0,Positive
RT @ScutiStore: Excited,0.0,0.0,1.0,Positive
RT @ShedworksGreg:,1.0,0.0,0.0,Intermediate
RT @ShinyCaseyD,1.0,0.0,0.0,Intermediate
"RT @SimayDinc, the Social Impact Panel of @GamesBeat @FacebookGaming Summit",0.0,0.0,1.0,Positive
RT @StarGardenGames: Check,1.0,0.0,0.0,Intermediate
RT @Tolkoto:,0.0,0.0,2.0,Positive
RT @Tolkoto: GamesBeat Decides,3.0,0.0,0.0,Intermediate
RT @Tolkoto: Getting,0.0,0.0,2.0,Positive
"RT @Tolkoto: Going live on, Nintendogs",1.0,0.0,0.0,Intermediate
"RT @Tolkoto:, FF14",0.0,0.0,1.0,Positive
RT @VG247:,0.0,0.0,2.0,Positive
"RT @VG247: The Wii, Switch",1.0,0.0,0.0,Intermediate
"RT @VG247:, Xbox One",0.0,0.0,1.0,Positive
RT @VGC_News,66.0,50.0,44.0,Intermediate
"RT @VGC_News, 100k, Xbox One",0.0,0.0,1.0,Positive
"RT @VGC_News, @Neil_Druckmann, HBO",1.0,0.0,0.0,Intermediate
"RT @VGC_News, @suda_51, VGC, Grasshopper’s ‘, IPs",0.0,0.0,1.0,Positive
"RT @VGC_News, AAA",0.0,1.0,0.0,Negative
"RT @VGC_News, AEW, WWE",1.0,0.0,0.0,Intermediate
"RT @VGC_News, AGDQ2022",0.0,1.0,0.0,Negative
"RT @VGC_News, AMD, PlayStation 5",0.0,0.0,1.0,Positive
"RT @VGC_News, AMD, Super Resolution",0.0,0.0,1.0,Positive
"RT @VGC_News, Activision",1.0,0.0,0.0,Intermediate
"RT @VGC_News, Activision, Call of Duty",0.0,1.0,0.0,Negative
"RT @VGC_News, Amazon",1.0,0.0,0.0,Intermediate
"RT @VGC_News, Amazon, MMO New",0.0,0.0,1.0,Positive
"RT @VGC_News, Amazon, New World",0.0,0.0,1.0,Positive
"RT @VGC_News, Apex Legends and Star Wars Squadrons",0.0,1.0,0.0,Negative
"RT @VGC_News, Apex Legends, PSN",1.0,0.0,0.0,Intermediate
"RT @VGC_News, Apple Arcade",1.0,0.0,0.0,Intermediate
"RT @VGC_News, Assassin",0.0,0.0,1.0,Positive
"RT @VGC_News, Assassin, Nightmare",0.0,1.0,0.0,Negative
"RT @VGC_News, Astral Chain, PlatinumGames",1.0,0.0,0.0,Intermediate
"RT @VGC_News, Atari",1.0,0.0,1.0,Intermediate
"RT @VGC_News, Bandai Namco",2.0,0.0,1.0,Intermediate
"RT @VGC_News, Bandai Namco, Collector",1.0,0.0,0.0,Intermediate
"RT @VGC_News, Bandai Namco, VGC",1.0,0.0,0.0,Intermediate
"RT @VGC_News, Banjo-Kazooie’s",1.0,0.0,0.0,Intermediate
"RT @VGC_News, Banner Saga, Xbox",0.0,0.0,1.0,Positive
"RT @VGC_News, Battlefield Mobile",0.0,1.0,0.0,Negative
"RT @VGC_News, Bayonetta 3",1.0,0.0,0.0,Intermediate
"RT @VGC_News, Bayonetta 3, Xbox",0.0,0.0,1.0,Positive
"RT @VGC_News, BioShock 4’s",0.0,1.0,0.0,Negative
"RT @VGC_News, BioWare",1.0,0.0,0.0,Intermediate
"RT @VGC_News, Bioware, Mass Effect TV",1.0,0.0,0.0,Intermediate
"RT @VGC_News, BlizzCon",0.0,1.0,0.0,Negative
"RT @VGC_News, Blizzard",0.0,1.0,0.0,Negative
"RT @VGC_News, Brewster",0.0,0.0,1.0,Positive
"RT @VGC_News, Building Simulator",0.0,0.0,1.0,Positive
"RT @VGC_News, Bungie",1.0,0.0,0.0,Intermediate
"RT @VGC_News, Bungie, Destiny 2",0.0,1.0,0.0,Negative
"RT @VGC_News, CMOS",1.0,0.0,0.0,Intermediate
"RT @VGC_News, CPU, Intel",0.0,1.0,0.0,Negative
"RT @VGC_News, Call of Duty",1.0,0.0,3.0,Positive
"RT @VGC_News, Call of Duty Vanguard",2.0,0.0,0.0,Intermediate
"RT @VGC_News, Call of Duty Vanguard, Warzone",0.0,1.0,0.0,Negative
"RT @VGC_News, Call of Duty Warzone",1.0,0.0,0.0,Intermediate
"RT @VGC_News, Call of Duty Warzone's, Pacific",0.0,0.0,1.0,Positive
"RT @VGC_News, Call of Duty, Operators",1.0,0.0,0.0,Intermediate
"RT @VGC_News, Call of Duty, PlayStation, Warzone 2",0.0,0.0,1.0,Positive
"RT @VGC_News, Call of Duty, Vanguard",1.0,0.0,0.0,Intermediate
"RT @VGC_News, Call of Duty, https://t.co/8FNTub08OO",0.0,1.0,0.0,Negative
"RT @VGC_News, Call of Duty:",1.0,0.0,0.0,Intermediate
"RT @VGC_News, Call of Duty’s",0.0,1.0,0.0,Negative
"RT @VGC_News, Call of Duty’s, Warzone, Halo Infinite’s",1.0,0.0,0.0,Intermediate
"RT @VGC_News, Capcom",1.0,3.0,0.0,Negative
"RT @VGC_News, Capcom, Sunbreak",1.0,0.0,0.0,Intermediate
"RT @VGC_News, Capcom, VR",0.0,1.0,0.0,Negative
"RT @VGC_News, Codemasters",0.0,0.0,1.0,Positive
"RT @VGC_News, Control",0.0,0.0,1.0,Positive
"RT @VGC_News, Crystal Dynamics",0.0,0.0,1.0,Positive
"RT @VGC_News, Crystal Dynamics, Marvel’s Avengers’ PlayStation",0.0,0.0,1.0,Positive
"RT @VGC_News, Crytek",2.0,0.0,0.0,Intermediate
"RT @VGC_News, DLC, Nintendo",0.0,0.0,1.0,Positive
"RT @VGC_News, Days Gone",0.0,1.0,0.0,Negative
"RT @VGC_News, Days Gone’s",0.0,1.0,0.0,Negative
"RT @VGC_News, Days Gone’s, Sony",0.0,0.0,1.0,Positive
"RT @VGC_News, Deathloop",0.0,1.0,0.0,Negative
"RT @VGC_News, Demon’s Souls PS5",1.0,0.0,0.0,Intermediate
"RT @VGC_News, Destruction AllStars",0.0,0.0,1.0,Positive
"RT @VGC_News, Discord PlayStation",1.0,0.0,0.0,Intermediate
"RT @VGC_News, DualSense",1.0,0.0,0.0,Intermediate
"RT @VGC_News, EA Sports', NFL",0.0,1.0,0.0,Negative
"RT @VGC_News, EDM, Sonic",1.0,0.0,0.0,Intermediate
"RT @VGC_News, ESR",0.0,1.0,0.0,Negative
"RT @VGC_News, Endwalker, https://t.co/eD1PjL2Stc",0.0,1.0,0.0,Negative
"RT @VGC_News, FIFA",2.0,0.0,0.0,Intermediate
"RT @VGC_News, FIFA, EA",1.0,0.0,0.0,Intermediate
"RT @VGC_News, FIFA, FIFA",1.0,0.0,0.0,Intermediate
"RT @VGC_News, FIFA, GTA The Trilogy: Definit",1.0,0.0,0.0,Intermediate
"RT @VGC_News, Famitsu",1.0,1.0,0.0,Intermediate
"RT @VGC_News, Far Cry 3",0.0,0.0,1.0,Positive
"RT @VGC_News, Far Cry 6",0.0,2.0,0.0,Negative
"RT @VGC_News, Far Cry, https://t.co/hV45e91",0.0,0.0,1.0,Positive
"RT @VGC_News, Final Fantasy 7 Remake Intergrade",1.0,0.0,0.0,Intermediate
"RT @VGC_News, Final Fantasy 7 Remake Part 2",1.0,0.0,0.0,Intermediate
"RT @VGC_News, Final Fantasy Origin",0.0,0.0,1.0,Positive
"RT @VGC_News, Final Fantasy Origin, Forspoken",1.0,0.0,0.0,Intermediate
"RT @VGC_News, Final Fantasy XIV's, Endwalker",0.0,0.0,1.0,Positive
"RT @VGC_News, Final Fantasy's",0.0,0.0,1.0,Positive
"RT @VGC_News, Fortnite Chapter 3",1.0,0.0,0.0,Intermediate
"RT @VGC_News, FromSoftware",0.0,1.0,0.0,Negative
"RT @VGC_News, GTA",1.0,0.0,0.0,Intermediate
"RT @VGC_News, GTA Trilogy",0.0,1.0,0.0,Negative
"RT @VGC_News, GTA Trilogy - Definitive Edition",1.0,0.0,0.0,Intermediate
"RT @VGC_News, GTA Trilogy Definitive Edition’s",0.0,1.0,0.0,Negative
"RT @VGC_News, GTA Trilogy’s, https://t.co/qceqmUImHw",0.0,0.0,1.0,Positive
"RT @VGC_News, Galactic Civilizations III",0.0,0.0,1.0,Positive
"RT @VGC_News, Galaxy",1.0,0.0,0.0,Intermediate
"RT @VGC_News, GeForce Now",1.0,1.0,0.0,Intermediate
"RT @VGC_News, Gears Tactics",0.0,1.0,0.0,Negative
"RT @VGC_News, GhostWire Tokyo",0.0,0.0,1.0,Positive
"RT @VGC_News, Google, Epic Games, Fortnite, Google Play",0.0,0.0,1.0,Positive
"RT @VGC_News, Gran Turismo 7",0.0,0.0,1.0,Positive
"RT @VGC_News, Grand Theft Auto",0.0,0.0,4.0,Positive
"RT @VGC_News, Grand Theft Auto 6",0.0,0.0,1.0,Positive
"RT @VGC_News, Grand Theft Auto V",0.0,0.0,1.0,Positive
"RT @VGC_News, Grand Theft Auto V, YouTube",0.0,0.0,1.0,Positive
"RT @VGC_News, Grand Theft Auto, Snoop Dogg",0.0,0.0,1.0,Positive
"RT @VGC_News, Grand Theft Auto, The Trilogy - The Definitive Collection",0.0,0.0,1.0,Positive
"RT @VGC_News, Grand Theft Auto, The Trilogy - The Definitive Edition",0.0,0.0,1.0,Positive
"RT @VGC_News, Guerrilla Games",0.0,1.0,0.0,Negative
"RT @VGC_News, Guerrilla Games, Horizon Forbidden West’s, Aloy’s Pullcaster",0.0,1.0,0.0,Negative
"RT @VGC_News, Half-Life",1.0,0.0,0.0,Intermediate
"RT @VGC_News, Half-Life 2",0.0,0.0,1.0,Positive
"RT @VGC_News, Halo Infinite",1.0,0.0,0.0,Intermediate
"RT @VGC_News, Halo Infinite Season 1",1.0,0.0,0.0,Intermediate
"RT @VGC_News, Heavy Rain",0.0,1.0,0.0,Negative
"RT @VGC_News, Horizon Forbidden West",0.0,1.0,1.0,Negative
"RT @VGC_News, IO Interactive, Hitman Trilogy",1.0,0.0,0.0,Intermediate
"RT @VGC_News, IP",1.0,0.0,0.0,Intermediate
"RT @VGC_News, Iki",0.0,1.0,0.0,Negative
"RT @VGC_News, Insomniac's Spider-Man 2",0.0,0.0,1.0,Positive
"RT @VGC_News, K Sports, FIFA, EA S",0.0,0.0,1.0,Positive
"RT @VGC_News, Kinect, Xbox",1.0,0.0,0.0,Intermediate
"RT @VGC_News, Knighthood",0.0,0.0,1.0,Positive
"RT @VGC_News, Lego",0.0,0.0,1.0,Positive
"RT @VGC_News, Lego, Nintendo, Question Block",0.0,1.0,0.0,Negative
"RT @VGC_News, MMO, Xbox",0.0,1.0,0.0,Negative
"RT @VGC_News, Mafia",0.0,1.0,0.0,Negative
"RT @VGC_News, Marvel",0.0,0.0,1.0,Positive
"RT @VGC_News, Marvel, Skydance",0.0,0.0,1.0,Positive
"RT @VGC_News, Mass Effect TV",0.0,0.0,1.0,Positive
"RT @VGC_News, MechWarrior 5, PlayStation",1.0,0.0,0.0,Intermediate
"RT @VGC_News, Mega Drive / Genesis, Nintendo Switch Online",1.0,0.0,0.0,Intermediate
"RT @VGC_News, Microsoft",5.0,2.0,6.0,Positive
"RT @VGC_News, Microsoft, Call of Duty",0.0,0.0,1.0,Positive
"RT @VGC_News, Microsoft, Endless",1.0,0.0,0.0,Intermediate
"RT @VGC_News, Microsoft, Halo Infinite, Renaissance",0.0,0.0,1.0,Positive
"RT @VGC_News, Microsoft, Halo Infinite, Xbox Insiders",1.0,0.0,0.0,Intermediate
"RT @VGC_News, Microsoft, Halo Infinite’s",0.0,0.0,1.0,Positive
"RT @VGC_News, Microsoft, Kinect, Sky TV",1.0,0.0,0.0,Intermediate
"RT @VGC_News, Microsoft, Xbox",1.0,0.0,1.0,Intermediate
"RT @VGC_News, Microsoft, Xbox Game Pass",2.0,0.0,0.0,Intermediate
"RT @VGC_News, Microsoft, Xbox Game Pass, Final Fantasy XIII-2",1.0,0.0,0.0,Intermediate
"RT @VGC_News, Microsoft, Xbox Series S",0.0,0.0,1.0,Positive
"RT @VGC_News, Microsoft, Xbox, https://t.co/zdB0qkJZ5X",1.0,0.0,0.0,Intermediate
"RT @VGC_News, Microsoft, al…",0.0,1.0,0.0,Negative
"RT @VGC_News, Modern Warfare, Infinity Ward, https://t.co/Qv8p8v8BCH",0.0,1.0,0.0,Negative
"RT @VGC_News, Motorstorm",0.0,0.0,1.0,Positive
"RT @VGC_News, N64",0.0,1.0,0.0,Negative
"RT @VGC_News, N64, Genesis, Nintendo Switch",1.0,0.0,0.0,Intermediate
"RT @VGC_News, N64, Nintendo",1.0,0.0,0.0,Intermediate
"RT @VGC_News, N64, Switch Online",1.0,0.0,0.0,Intermediate
"RT @VGC_News, NES, SNES, https://t.co/2qdabcO9Zv",0.0,1.0,0.0,Negative
"RT @VGC_News, NFT",1.0,0.0,0.0,Intermediate
"RT @VGC_News, NFT, Castlevania",1.0,0.0,0.0,Intermediate
"RT @VGC_News, Namco",0.0,0.0,1.0,Positive
"RT @VGC_News, NetEase",1.0,0.0,0.0,Intermediate
"RT @VGC_News, Netflix, Night School Studio",1.0,0.0,0.0,Intermediate
"RT @VGC_News, NetherRealm Studios, Mortal Kombat 12",1.0,0.0,0.0,Intermediate
"RT @VGC_News, Nintendo",6.0,5.0,9.0,Positive
"RT @VGC_News, Nintendo Switch Online's, N64",1.0,0.0,0.0,Intermediate
"RT @VGC_News, Nintendo Switch Online, N64",1.0,0.0,0.0,Intermediate
